iter	Passed	Remaining
0	1	122
1	2	116
2	3	114
3	4	106
4	5	105
5	6	107
6	8	108
7	9	106
8	10	105
9	11	104
10	12	102
11	13	101
12	15	100
13	16	99
14	17	97
15	18	96
16	19	95
17	20	94
18	21	93
19	23	92
20	24	92
21	25	91
22	26	89
23	27	88
24	29	87
25	30	86
26	31	84
27	32	83
28	33	82
29	34	81
30	35	80
31	37	78
32	38	77
33	39	76
34	40	75
35	41	74
36	42	72
37	43	71
38	45	70
39	46	69
40	47	68
41	47	66
42	48	64
43	50	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	57
49	56	56
50	57	55
51	59	54
52	60	53
53	61	52
54	62	51
55	63	50
56	64	48
57	66	47
58	67	46
59	68	45
60	69	44
61	70	43
62	72	42
63	73	41
64	74	40
65	76	39
66	77	38
67	79	37
68	80	36
69	81	34
70	82	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	28
76	90	26
77	91	25
78	92	24
79	93	23
80	95	22
81	96	21
82	97	20
83	98	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	106	11
90	107	10
91	109	9
92	110	8
93	112	7
94	113	5
95	115	4
96	116	3
97	117	2
98	119	1
99	120	0
