iter	Passed	Remaining
0	147	147385
1	148	74231
2	150	49910
3	151	37683
4	152	30354
5	153	25465
6	155	22003
7	159	19745
8	161	17826
9	163	16204
10	165	14851
11	166	13700
12	167	12724
13	168	11897
14	175	11538
15	177	10906
16	179	10370
17	180	9855
18	181	9389
19	184	9026
20	188	8785
21	190	8460
22	191	8150
23	193	7852
24	194	7574
25	195	7318
26	196	7088
27	197	6866
28	198	6662
29	200	6478
30	201	6310
31	203	6144
32	204	5988
33	205	5846
34	207	5715
35	208	5591
36	210	5465
37	211	5346
38	215	5305
39	217	5213
40	218	5114
41	219	5013
42	221	4919
43	222	4831
44	223	4746
45	227	4709
46	228	4640
47	230	4563
48	231	4489
49	233	4430
50	234	4362
51	235	4296
52	236	4232
53	238	4171
54	243	4191
55	245	4143
56	247	4087
57	248	4032
58	249	3980
59	250	3929
60	252	3881
61	255	3858
62	257	3831
63	259	3793
64	261	3757
65	262	3716
66	263	3674
67	265	3632
68	266	3595
69	271	3612
70	273	3574
71	275	3544
72	276	3510
73	277	3473
74	278	3437
75	279	3402
76	281	3368
77	286	3383
78	288	3362
79	290	3346
80	293	3326
81	294	3296
82	295	3259
83	296	3230
84	301	3245
85	303	3225
86	305	3201
87	306	3173
88	307	3145
89	308	3119
90	309	3093
91	310	3069
92	315	3075
93	317	3060
94	318	3036
95	320	3013
96	321	2990
97	322	2966
98	323	2943
99	324	2921
100	325	2901
101	330	2906
102	332	2892
103	333	2874
104	334	2853
105	335	2833
106	337	2813
107	338	2794
108	339	2775
109	340	2756
110	346	2773
111	347	2757
112	349	2744
113	350	2727
114	352	2710
115	353	2692
116	354	2674
117	356	2662
118	360	2666
119	361	2654
120	363	2641
121	364	2624
122	365	2608
123	366	2592
124	368	2576
125	369	2561
126	370	2545
127	374	2552
128	376	2540
129	377	2526
130	378	2511
131	379	2497
132	381	2483
133	382	2470
134	383	2457
135	384	2444
136	385	2430
137	389	2436
138	392	2432
139	394	2421
140	395	2408
141	396	2393
142	397	2381
143	398	2370
144	399	2358
145	401	2346
146	405	2352
147	406	2341
148	407	2329
149	409	2319
150	410	2308
151	412	2303
152	415	2299
153	420	2308
154	422	2302
155	423	2293
156	424	2281
157	426	2272
158	427	2262
159	428	2251
160	429	2239
161	430	2228
162	434	2230
163	437	2229
164	439	2224
165	440	2214
166	442	2204
167	443	2195
168	444	2186
169	445	2177
170	451	2188
171	453	2181
172	454	2172
173	455	2162
174	456	2152
175	457	2143
176	458	2133
177	460	2124
178	464	2129
179	465	2122
180	467	2114
181	468	2105
182	469	2097
183	470	2088
184	472	2080
185	473	2071
186	474	2062
187	475	2054
188	479	2057
189	482	2054
190	484	2050
191	485	2042
192	486	2034
193	487	2025
194	488	2017
195	489	2009
196	494	2014
197	495	2007
198	496	2000
199	498	1992
200	499	1985
201	500	1977
202	501	1969
203	502	1962
204	503	1954
205	505	1947
206	509	1952
207	511	1948
208	513	1942
209	514	1936
210	515	1929
211	517	1924
212	518	1917
213	519	1909
214	523	1912
215	525	1907
